,Q2,Q3,Q4,Q6,Q7,Q48,Q49,Q52,Q86,Q87,Q88,Q89,AA,White,Asian,Other,HispY,HispN,DisY,DisN,Under40,Over40,NonSuper,Super,-10YearsFed,11-20YearsFed,+20Fed,Male,Female,Mil,NoMil,dbl_needs_not_met,Outcome
16501,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
16502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0
16503,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
16504,2.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1
16505,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
16506,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
16507,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
16509,2.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1
16510,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
16511,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1
16512,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
16513,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
16514,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
16515,4.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
